#CP_price,FF_price,FF-CP-delta,slo_local_ff,slo_remote_ff
1345075,3276800,1931725,0,0
153375,204800,51425,1,0
275450,409600,134150,1,0
430275,409600,-20675,1,1
1595775,1638400,42625,1,0
184700,204800,20100,1,0
1352450,1638400,285950,1,0
1234500,1638400,403900,1,0
2442500,1996800,-445700,1,1
432125,204800,-227325,1,1
100625,51200,-49425,1,1
1485175,819200,-665975,1,1
341800,204800,-137000,1,1
310475,204800,-105675,1,1
280975,204800,-76175,1,1
433975,204800,-229175,1,1
1617875,819200,-798675,1,1
373150,204800,-168350,1,1
1374575,819200,-555375,1,1
156125,102400,-53725,1,1
1131275,819200,-312075,1,1
435825,204800,-231025,1,1
101550,51200,-50350,1,1
375000,819200,444200,0,0
86325,51200,-35125,1,1
1263975,2867200,1603225,0,0
1138650,1638400,499750,1,0
219725,204800,-14925,1,1
1632625,1638400,5775,1,0
378675,409600,30925,1,0
347350,409600,62250,1,0
317850,409600,91750,1,0
2292100,2355200,63100,1,0
3861775,1792000,-2069775,1,1
410000,204800,-205200,1,1
1522050,819200,-702850,1,1
174575,102400,-72175,1,1
1278725,819200,-459525,1,1
288350,204800,-83550,1,1
86800,51200,-35600,1,1
316000,204800,-111200,1,1
2292100,4915200,2623100,0,0
3861775,3584000,-277775,1,1
3280050,2304000,-976050,1,1
1522050,819200,-702850,1,1
1396700,819200,-577500,1,1
79875,51200,-28675,1,1
1161300,819200,-342100,1,1
221575,102400,-119175,1,1
1647375,819200,-828175,1,1
3058875,1638400,-1420475,1,1
1567675,819200,-748475,1,1
174625,102400,-72225,1,1
302225,204800,-97425,1,1
534425,204800,-329625,1,1
1654750,3276800,1622050,0,0
384200,204800,-179400,1,1
3087625,3584000,496375,1,0
323375,204800,-118575,1,1
1175500,1638400,462900,1,0
1791675,1484800,-306875,1,1
492950,204800,-288150,1,1
445950,204800,-241150,1,1
1426200,819200,-607000,1,1
88700,51200,-37500,1,1
295725,204800,-90925,1,1
448725,204800,-243925,1,1
1676875,819200,-857675,1,1
1551525,819200,-732325,1,1
2867175,1638400,-1228775,1,1
1308225,819200,-489025,1,1
1190250,3276800,2086550,0,0
450550,204800,-245750,1,1
210525,102400,-108125,1,1
97400,51200,-46200,1,1
180100,102400,-77700,1,1
82650,51200,-31450,1,1
149675,102400,-47275,1,1
1079650,1638400,558750,1,0
211425,102400,-109025,1,1
393425,409600,16175,1,0
188325,102400,-85925,1,1
332600,409600,77000,1,0
2636050,3584000,947950,1,0
135850,204800,68950,1,0
1699000,972800,-726200,1,1
114900,51200,-63700,1,1
363925,204800,-159125,1,1
334450,204800,-129650,1,1
1212375,819200,-393175,1,1
273600,204800,-68800,1,1
426600,204800,-221800,1,1
397100,204800,-192300,1,1
91875,51200,-40675,1,1
336275,204800,-131475,1,1
306800,204800,-102000,1,1
1101775,819200,-282575,1,1
430275,204800,-225475,1,1
398950,204800,-194150,1,1
369450,204800,-164650,1,1
84500,51200,-33300,1,1
1234500,819200,-415300,1,1
1109150,3276800,2167650,0,0
432125,204800,-227325,1,1
200375,204800,4425,1,0
2970400,3276800,306400,1,0
339975,409600,69625,1,0
1241875,1638400,396525,1,0
1123900,1331200,207300,1,0
433975,204800,-229175,1,1
101075,51200,-49875,1,1
93250,51200,-42050,1,1
1374575,819200,-555375,1,1
2498525,1638400,-860125,1,1
282825,204800,-78025,1,1
435825,204800,-231025,1,1
406325,204800,-201525,1,1
187475,102400,-85075,1,1
1735850,819200,-916650,1,1
402650,204800,-197850,1,1
373150,204800,-168350,1,1
85425,51200,-34225,1,1
312325,204800,-107525,1,1
369450,204800,-164650,1,1
339975,204800,-135175,1,1
2469050,4915200,2446150,0,0
279150,204800,-74350,1,1
432125,204800,-227325,1,1
1610525,1638400,27875,1,0
373150,204800,-168350,1,1
170875,102400,-68475,1,1
2732800,3430400,697600,1,0
280975,204800,-76175,1,1
3486500,1638400,-1848100,1,1
1617875,819200,-798675,1,1
1499925,819200,-680725,1,1
3007000,1792000,-1215000,1,1
2513275,4915200,2401925,0,0
1131275,819200,-312075,1,1
437650,204800,-232850,1,1
1595775,1638400,42625,1,0
181025,102400,-78625,1,1
330750,409600,78850,1,0
79700,51200,-28500,1,1
269925,409600,139675,1,0
435650,409600,-26050,1,0
3147350,2662400,-484950,1,1
206375,102400,-103975,1,1
1330350,819200,-511150,1,1
1212375,819200,-393175,1,1
274550,204800,-69750,1,1
1706375,819200,-887175,1,1
229900,102400,-127500,1,1
365775,204800,-160975,1,1
1345075,819200,-525875,1,1
2447225,1638400,-808825,1,1
1101775,3276800,2175025,0,0
428450,204800,-223650,1,1
1595775,1638400,42625,1,0
367625,204800,-162825,1,1
1352450,1638400,285950,1,0
81725,51200,-30525,1,1
1109150,1638400,529250,1,0
3765000,2611200,-1153800,1,1
1603150,819200,-783950,1,1
2955650,1638400,-1317250,1,1
339975,204800,-135175,1,1
1286200,819200,-467000,1,1
1116525,819200,-297325,1,1
3781125,5222400,1441275,0,0
402650,204800,-197850,1,1
3007075,3276800,269725,1,0
94875,51200,-43675,1,1
335375,204800,-130575,1,1
1153400,819200,-334200,1,1
1743225,1484800,-258425,1,1
404475,204800,-199675,1,1
429375,204800,-224575,1,1
2749200,1638400,-1110800,1,1
314150,204800,-109350,1,1
1131275,819200,-312075,1,1
437650,204800,-232850,1,1
203150,102400,-100750,1,1
376825,204800,-172025,1,1
2763950,1638400,-1125550,1,1
157975,102400,-55575,1,1
1146025,819200,-326825,1,1
219725,102400,-117325,1,1
204975,102400,-102575,1,1
189325,409600,220275,0,0
174575,409600,235025,0,0
1271350,2867200,1595850,0,0
288350,409600,121250,1,0
110300,51200,-59100,1,1
85175,51200,-33975,1,1
284675,409600,124925,1,0
439500,409600,-29900,1,1
408175,409600,1425,1,0
189325,204800,15475,1,0
173650,204800,31150,1,0
317850,409600,91750,1,0
74150,102400,28250,1,0
441350,409600,-31750,1,1
3280050,3225600,-54450,1,0
190225,102400,-87825,1,1
1404075,819200,-584875,1,1
2557525,1638400,-919125,1,1
290200,204800,-85400,1,1
1815925,819200,-996725,1,1
487475,204800,-282675,1,1
1529400,3276800,1747400,0,0
352875,204800,-148075,1,1
174625,102400,-72225,1,1
76250,51200,-25050,1,1
1780100,1638400,-141700,1,1
122525,51200,-71325,1,1
384200,409600,25400,1,0
1418825,819200,-599625,1,1
80800,51200,-29600,1,1
146925,102400,-44525,1,1
111700,51200,-60500,1,1
104325,102400,-1925,1,0
387900,409600,21700,1,0
1426200,1638400,212200,1,0
1308225,1638400,330175,1,0
295725,409600,113875,1,0
3942400,1945600,-1996800,1,1
419225,204800,-214425,1,1
194850,102400,-92450,1,1
1433550,819200,-614350,1,1
82175,51200,-30975,1,1
297575,819200,521625,0,0
66975,51200,-15775,1,1
1684250,819200,-865050,1,1
391575,204800,-186775,1,1
1440925,2867200,1426275,0,0
330750,409600,78850,1,0
74800,102400,27600,1,0
1079650,1638400,558750,1,0
212350,204800,-7550,1,0
393425,409600,16175,1,0
363925,409600,45675,1,0
1410825,1638400,227575,1,0
1212375,1484800,272425,1,0
1098125,819200,-278925,1,1
