#CP_price,FF_price,FF-CP-delta,slo_local_ff,slo_remote_ff
1706375,819200,-887175,1,1
395275,204800,-190475,1,1
182850,102400,-80450,1,1
334450,204800,-129650,1,1
1219750,819200,-400550,1,1
273600,204800,-68800,1,1
107075,51200,-55875,1,1
397100,204800,-192300,1,1
1470425,3276800,1806375,0,0
338125,204800,-133325,1,1
306800,409600,102800,1,0
277300,409600,132300,1,0
215125,204800,-10325,1,1
400800,409600,8800,1,0
369450,409600,40150,1,0
1359825,1638400,278575,1,0
308625,409600,100975,1,0
1116525,1638400,521875,1,0
432125,409600,-22525,1,1
201300,204800,3500,1,0
92800,102400,9600,1,0
1367200,972800,-394400,1,1
310475,204800,-105675,1,1
140450,102400,-38050,1,1
1735850,819200,-916650,1,1
404475,204800,-199675,1,1
375000,204800,-170200,1,1
2749200,1638400,-1110800,1,1
314150,204800,-109350,1,1
282825,204800,-78025,1,1
1750600,819200,-931400,1,1
1625250,819200,-806050,1,1
140450,102400,-38050,1,1
433975,819200,385225,0,0
425050,204800,-220250,1,1
1492550,2867200,1374650,0,0
1374575,1638400,263825,1,0
1341375,1638400,297025,1,0
145525,102400,-43125,1,1
217900,102400,-115500,1,1
1625250,1638400,13150,1,0
1499925,1433600,-66325,1,0
345500,204800,-140700,1,1
169075,102400,-66675,1,1
284675,204800,-79875,1,1
219725,102400,-117325,1,1
408175,204800,-203375,1,1
1514675,819200,-695475,1,1
347350,204800,-142550,1,1
317850,204800,-113050,1,1
1146025,819200,-326825,1,1
441350,204800,-236550,1,1
204975,102400,-102575,1,1
380525,204800,-175725,1,1
87250,51200,-36050,1,1
159825,102400,-57425,1,1
288350,204800,-83550,1,1
246650,102400,-144250,1,1
242350,102400,-139950,1,1
191150,102400,-88750,1,1
196750,102400,-94350,1,1
160750,102400,-58350,1,1
292050,819200,527150,0,0
1780100,819200,-960900,1,1
415550,819200,403650,0,0
384200,819200,435000,0,0
1418825,819200,-599625,1,1
323375,819200,495825,0,0
76925,102400,25475,1,0
446875,409600,-37275,1,1
417375,409600,-7775,1,0
386050,409600,23550,1,0
1426200,1638400,212200,1,0
325225,409600,84375,1,0
295725,409600,113875,1,0
112150,102400,-9750,1,1
419225,409600,-9625,1,0
387900,409600,21700,1,0
358400,409600,51200,1,0
82175,102400,20225,1,0
297575,409600,112025,1,0
2144625,2099200,-45425,1,0
105225,51200,-54025,1,1
391575,819200,427625,0,0
360250,819200,458950,0,0
330750,819200,488450,0,0
74800,204800,130000,0,0
134925,409600,274675,0,0
211425,307200,95775,0,0
196700,204800,8100,1,0
362075,409600,47525,1,0
83100,102400,19300,1,0
301250,409600,108350,1,0
1087025,1638400,551375,1,0
1706375,1638400,-67975,1,0
1581025,1638400,57375,1,0
182850,204800,21950,1,0
334450,307200,-27250,1,1
152450,102400,-50050,1,1
1094400,819200,-275200,1,1
428450,204800,-223650,1,1
99250,51200,-48050,1,1
1470425,819200,-651225,1,1
168125,102400,-65725,1,1
76650,51200,-25450,1,1
2203625,1638400,-565225,1,1
430275,204800,-225475,1,1
398950,204800,-194150,1,1
184700,102400,-82300,1,1
338125,204800,-133325,1,1
308625,204800,-103825,1,1
279150,819200,540050,0,0
108000,51200,-56800,1,1
3523075,4812800,1289725,0,0
1485175,819200,-665975,1,1
170875,204800,33925,1,0
2483775,3276800,793025,1,0
140450,102400,-38050,1,1
1352450,1177600,-174850,1,1
154300,102400,-51900,1,1
70700,51200,-19500,1,1
1728475,819200,-909275,1,1
1603150,819200,-783950,1,1
1485175,819200,-665975,1,1
84950,51200,-33750,1,1
155200,102400,-52800,1,1
279150,204800,-74350,1,1
1735850,819200,-916650,1,1
402650,819200,416550,0,0
2985150,4505600,1520450,0,0
171800,204800,33000,1,0
1249225,1638400,389175,1,0
2262600,2969600,707000,1,0
108925,51200,-57725,1,1
101550,51200,-50350,1,1
1499925,819200,-680725,1,1
362925,204800,-158125,1,1
2513275,1638400,-874875,1,1
146950,102400,-44550,1,1
109375,51200,-58175,1,1
1632625,819200,-813425,1,1
1507300,819200,-688100,1,1
1389325,819200,-570125,1,1
157975,102400,-55575,1,1
143225,102400,-40825,1,1
219725,102400,-117325,1,1
429900,204800,-225100,1,1
218800,102400,-116400,1,1
195325,102400,-92925,1,1
159825,102400,-57425,1,1
288350,819200,530850,0,0
443200,819200,376000,0,0
205900,409600,203700,0,0
382350,819200,436850,0,0
175500,409600,234100,0,0
321525,409600,88075,1,0
290200,409600,119400,1,0
1780100,1638400,-141700,1,1
413700,409600,-4100,1,0
384200,409600,25400,1,0
176400,204800,28400,1,0
1293475,1638400,344925,1,0
293875,409600,115725,1,0
1787475,3276800,1489325,0,0
417375,409600,-7775,1,0
386050,409600,23550,1,0
356550,409600,53050,1,0
1300850,921600,-379250,1,1
147825,102400,-45425,1,1
448725,204800,-243925,1,1
1676875,819200,-857675,1,1
193925,102400,-91525,1,1
179175,102400,-76775,1,1
1357925,1638400,280475,1,0
1190250,1638400,448150,1,0
450550,409600,-40950,1,1
1684250,1638400,-45850,1,0
389725,409600,19875,1,0
407300,409600,2300,1,0
330750,204800,-125950,1,1
149675,102400,-47275,1,1
1079650,819200,-260450,1,1
211425,102400,-109025,1,1
3442450,1792000,-1650450,1,1
2896675,1638400,-1258275,1,1
357100,204800,-152300,1,1
1275050,819200,-455850,1,1
68600,51200,-17400,1,1
1699000,819200,-879800,1,1
98775,51200,-47575,1,1
1455675,3276800,1821125,0,0
1337725,1638400,300675,1,0
2652175,3584000,931825,1,0
69275,102400,33125,1,0
426600,409600,-17000,1,0
1588400,1228800,-359600,1,1
367625,204800,-162825,1,1
1345075,819200,-525875,1,1
1227125,819200,-407925,1,1
275450,204800,-70650,1,1
480825,204800,-276025,1,1
99700,51200,-48500,1,1
369450,204800,-164650,1,1
1352450,819200,-533250,1,1
3176825,1638400,-1538425,1,1
365775,204800,-160975,1,1
336275,204800,-131475,1,1
81050,51200,-29850,1,1
1101775,3276800,2175025,0,0
428450,204800,-223650,1,1
398950,204800,-194150,1,1
1470425,1638400,167975,1,0
338125,204800,-133325,1,1
2454300,3276800,822500,1,0
277300,409600,132300,1,0
1728475,1433600,-294875,1,1
1603150,819200,-783950,1,1
3248900,1792000,-1456900,1,1
1359825,819200,-540625,1,1
310475,204800,-105675,1,1
1116525,819200,-297325,1,1
219625,102400,-117225,1,1
1610525,819200,-791325,1,1
1492550,819200,-673350,1,1
1367200,3276800,1909600,0,0
156125,102400,-53725,1,1
280975,409600,128625,1,0
108925,51200,-57725,1,1
418850,409600,-9250,1,0
1499925,1638400,138475,1,0
1374575,1638400,263825,1,0
84500,51200,-33300,1,1
293900,409600,115700,1,0
3501250,2662400,-838850,1,1
408175,204800,-203375,1,1
376825,204800,-172025,1,1
1462425,819200,-643225,1,1
340925,204800,-136125,1,1
296675,204800,-91875,1,1
131525,51200,-80325,1,1
120500,51200,-69300,1,1
378675,204800,-173875,1,1
349175,204800,-144375,1,1
171800,102400,-69400,1,1
2306825,1638400,-668425,1,1
1765350,819200,-946150,1,1
1647375,819200,-828175,1,1
3058875,4915200,1856325,0,0
1404075,1638400,234325,1,0
80350,51200,-29150,1,1
2321575,3276800,955225,1,0
3894025,1792000,-2102025,1,1
1654750,819200,-835550,1,1
1536775,819200,-717575,1,1
352875,204800,-148075,1,1
1293475,819200,-474275,1,1
72975,51200,-21775,1,1
223425,102400,-121025,1,1
207750,102400,-105350,1,1
3088350,1638400,-1449950,1,1
1467275,3276800,1809525,0,0
1418825,1638400,219575,1,0
1175500,1638400,462900,1,0
448725,204800,-243925,1,1
1676875,1638400,-38475,1,0
224350,102400,-121950,1,1
1433550,1638400,204850,1,0
1308225,819200,-489025,1,1
297575,204800,-92775,1,1
1802200,819200,-983000,1,1
105225,51200,-54025,1,1
1558900,819200,-739700,1,1
1440925,819200,-621725,1,1
1424650,819200,-605450,1,1
1197625,819200,-378425,1,1
134450,102400,-32050,1,1
422925,204800,-218125,1,1
391575,204800,-186775,1,1
1448300,819200,-629100,1,1
165350,102400,-62950,1,1
150600,102400,-48200,1,1
135850,102400,-33450,1,1
1699000,3276800,1577800,0,0
395275,409600,14325,1,0
1455675,1638400,182725,1,0
334450,409600,75150,1,0
1212375,1638400,426025,1,0
2188875,2867200,678325,1,0
426600,204800,-221800,1,1
449525,204800,-244725,1,1
271775,204800,-66975,1,1
424750,204800,-219950,1,1
1573650,819200,-754450,1,1
1455675,819200,-636475,1,1
166275,102400,-63875,1,1
2424800,1638400,-786400,1,1
271775,204800,-66975,1,1
3412775,4915200,1502425,0,0
197600,102400,-95200,1,1
182850,102400,-80450,1,1
336275,409600,73325,1,0
1219750,1638400,418650,1,0
275450,409600,134150,1,0
1713725,1638400,-75325,1,0
398950,409600,10650,1,0
367625,409600,41975,1,0
169025,102400,-66625,1,1
306800,204800,-102000,1,1
141400,102400,-39000,1,1
215125,102400,-112725,1,1
100175,51200,-48975,1,1
369450,204800,-164650,1,1
339975,204800,-135175,1,1
308625,204800,-103825,1,1
279150,204800,-74350,1,1
3471750,1638400,-1833350,1,1
402650,204800,-197850,1,1
1542925,819200,-723725,1,1
379575,204800,-174775,1,1
1249225,819200,-430025,1,1
1123900,819200,-304700,1,1
130175,51200,-78975,1,1
236800,102400,-134400,1,1
1499925,3276800,1776875,0,0
1374575,1638400,263825,1,0
314150,204800,-109350,1,1
1131275,1638400,507125,1,0
3829525,3430400,-399125,1,1
406325,204800,-201525,1,1
1507300,819200,-688100,1,1
2763950,1638400,-1125550,1,1
85175,51200,-33975,1,1
143225,102400,-40825,1,1
222100,102400,-119700,1,1
410000,204800,-205200,1,1
1514675,819200,-695475,1,1
97625,51200,-46425,1,1
343700,204800,-138900,1,1
74825,51200,-23625,1,1
1765350,819200,-946150,1,1
1647375,819200,-828175,1,1
1522050,819200,-702850,1,1
1419125,3276800,1857675,0,0
346425,409600,63175,1,0
302225,409600,107375,1,0
531725,409600,-122125,1,1
413700,409600,-4100,1,0
3058875,3276800,217925,1,0
176400,204800,28400,1,0
323375,409600,86225,1,0
292050,409600,117550,1,0
446875,409600,-37275,1,1
207750,204800,-2950,1,0
111500,51200,-60300,1,1
177325,102400,-74925,1,1
88700,51200,-37500,1,1
293875,204800,-89075,1,1
224350,102400,-121950,1,1
1669500,819200,-850300,1,1
1551525,819200,-732325,1,1
178250,102400,-75850,1,1
327075,204800,-122275,1,1
295725,204800,-90925,1,1
450550,204800,-245750,1,1
419225,204800,-214425,1,1
1558900,819200,-739700,1,1
1583225,819200,-764025,1,1
328900,204800,-124100,1,1
78950,51200,-27750,1,1
1072275,819200,-253075,1,1
1691625,3276800,1585175,0,0
3132600,3276800,144200,1,0
181025,204800,23775,1,0
1322975,1638400,315425,1,0
2636050,2508800,-127250,1,0
67875,51200,-16675,1,1
328900,204800,-124100,1,1
148750,102400,-46350,1,1
1072275,819200,-253075,1,1
1684250,819200,-865050,1,1
1566275,819200,-747075,1,1
1440925,819200,-621725,1,1
165350,102400,-62950,1,1
299425,204800,-94625,1,1
67925,51200,-16725,1,1
212350,102400,-109950,1,1
1573650,819200,-754450,1,1
1455675,3276800,1821125,0,0
83100,51200,-31900,1,1
303100,204800,-98300,1,1
1087025,1638400,551375,1,0
426600,204800,-221800,1,1
98775,51200,-47575,1,1
182850,204800,21950,1,0
1337725,1638400,300675,1,0
1219750,1638400,418650,1,0
69275,51200,-18075,1,1
3748875,2508800,-1240075,1,1
3474700,1792000,-1682700,1,1
1470425,819200,-651225,1,1
3119650,1792000,-1327650,1,1
1227125,819200,-407925,1,1
1109150,3276800,2167650,0,0
430275,204800,-225475,1,1
113675,51200,-62475,1,1
1477800,1638400,160600,1,0
188425,204800,16375,1,0
2700550,3584000,883450,1,0
1116525,1382400,265875,1,0
1728475,819200,-909275,1,1
402650,204800,-197850,1,1
371300,204800,-166500,1,1
1367200,819200,-548000,1,1
83150,51200,-31950,1,1
140450,102400,-38050,1,1
3471750,1638400,-1833350,1,1
202225,102400,-99825,1,1
375000,204800,-170200,1,1
343650,204800,-138850,1,1
78500,51200,-27300,1,1
141375,102400,-38975,1,1
437650,204800,-232850,1,1
1625250,819200,-806050,1,1
1507300,3276800,1769500,0,0
172725,102400,-70325,1,1
170425,102400,-68025,1,1
284675,204800,-79875,1,1
439500,204800,-234700,1,1
408175,409600,1425,1,0
189325,102400,-86925,1,1
347350,409600,62250,1,0
1271350,1638400,367050,1,0
286525,409600,123075,1,0
1765350,1638400,-126950,1,1
210850,204800,-6050,1,0
1522050,1638400,116350,1,0
3071500,1894400,-1177100,1,1
1385625,819200,-566425,1,1
151075,102400,-48675,1,1
443200,204800,-238400,1,1
413700,204800,-208900,1,1
1529400,819200,-710200,1,1
1411450,819200,-592250,1,1
1286100,819200,-466900,1,1
152500,102400,-50100,1,1
133625,51200,-82425,1,1
234800,102400,-132400,1,1
1536775,819200,-717575,1,1
398975,819200,420225,0,0
80800,204800,124000,0,0
2351075,4403200,2052125,0,0
134975,102400,-32575,1,1
1669500,1638400,-31100,1,0
1551525,1638400,86875,1,0
1426200,1331200,-95000,1,1
89325,51200,-38125,1,1
310475,204800,-105675,1,1
450550,204800,-245750,1,1
1676875,819200,-857675,1,1
3410200,1792000,-1618200,1,1
358400,204800,-153600,1,1
328900,204800,-124100,1,1
1544150,819200,-724950,1,1
356550,204800,-151750,1,1
162575,102400,-60175,1,1
1211750,819200,-392550,1,1
224350,102400,-121950,1,1
419225,204800,-214425,1,1
3117850,4915200,1797350,0,0
101075,51200,-49875,1,1
328900,409600,80700,1,0
78275,51200,-27075,1,1
134500,102400,-32100,1,1
3684375,3584000,-100375,1,0
195775,102400,-93375,1,1
1449275,1280000,-169275,1,1
363050,204800,-158250,1,1
2619925,1792000,-827925,1,1
1087025,819200,-267825,1,1
1691625,819200,-872425,1,1
114275,51200,-63075,1,1
205000,102400,-102600,1,1
332600,204800,-127800,1,1
318800,204800,-114000,1,1
137275,102400,-34875,1,1
1706375,819200,-887175,1,1
98775,51200,-47575,1,1
1529700,819200,-710500,1,1
2926350,5222400,2296050,0,0
2439550,3276800,837250,1,0
277325,204800,-72525,1,1
254800,102400,-152400,1,1
397100,409600,12500,1,0
367625,409600,41975,1,0
92825,51200,-41625,1,1
1227125,1075200,-151925,1,1
280100,204800,-75300,1,1
1721100,819200,-901900,1,1
199450,102400,-97050,1,1
92325,51200,-41125,1,1
1352450,819200,-533250,1,1
82475,51200,-31275,1,1
1116525,819200,-297325,1,1
3457000,1638400,-1818600,1,1
402650,204800,-197850,1,1
1485175,819200,-665975,1,1
1367200,3276800,1909600,0,0
2483775,3276800,793025,1,0
1123900,1638400,514500,1,0
216975,102400,-114575,1,1
404475,204800,-199675,1,1
1492550,1638400,145850,1,0
2749200,1638400,-1110800,1,1
78025,51200,-26825,1,1
1131275,819200,-312075,1,1
217900,102400,-115500,1,1
203150,102400,-100750,1,1
1499925,819200,-680725,1,1
172725,102400,-70325,1,1
157975,102400,-55575,1,1
1138650,819200,-319450,1,1
1757975,819200,-938775,1,1
408175,204800,-203375,1,1
1514675,819200,-695475,1,1
173650,102400,-71250,1,1
1271350,3276800,2005450,0,0
2507025,3584000,1076975,1,0
110300,51200,-59100,1,1
425525,204800,-220725,1,1
95100,102400,7300,1,0
1396700,1638400,241700,1,0
319700,409600,89900,1,0
2306825,2048000,-258825,1,1
3545475,1638400,-1907075,1,1
3309550,1638400,-1671150,1,1
382350,204800,-177550,1,1
88175,51200,-36975,1,1
80350,51200,-29150,1,1
292050,204800,-87250,1,1
460950,204800,-256150,1,1
1662125,819200,-842925,1,1
96025,51200,-44825,1,1
398975,204800,-194175,1,1
80800,51200,-29600,1,1
76925,51200,-25725,1,1
537200,819200,282000,0,0
321525,819200,497675,0,0
145075,102400,-42675,1,1
445025,819200,374175,0,0
413700,819200,405500,0,0
96025,51200,-44825,1,1
352875,409600,56725,1,0
1293475,1638400,344925,1,0
1175500,1638400,462900,1,0
111700,102400,-9300,1,1
3339050,3020800,-318250,1,1
1544150,819200,-724950,1,1
178250,102400,-75850,1,1
162575,102400,-60175,1,1
77600,51200,-26400,1,1
1794850,819200,-975650,1,1
236700,102400,-134300,1,1
1551525,819200,-732325,1,1
101075,51200,-49875,1,1
357500,204800,-152700,1,1
313250,204800,-108450,1,1
1802200,819200,-983000,1,1
249250,102400,-146850,1,1
97400,51200,-46200,1,1
2881925,1638400,-1243525,1,1
165350,102400,-62950,1,1
299425,204800,-94625,1,1
1079650,3276800,2197150,0,0
422925,409600,-13325,1,0
3147350,3276800,129450,1,0
2896675,3072000,175325,1,0
1330350,819200,-511150,1,1
1256250,819200,-437050,1,1
1087025,819200,-267825,1,1
1699000,819200,-879800,1,1
395275,204800,-190475,1,1
1455675,819200,-636475,1,1
1337725,819200,-518525,1,1
160750,102400,-58350,1,1
69275,51200,-18075,1,1
231550,102400,-129150,1,1
462575,204800,-257775,1,1
104600,51200,-53400,1,1
336275,204800,-131475,1,1
163525,102400,-61125,1,1
275450,204800,-70650,1,1
3765000,5222400,1457400,0,0
199450,102400,-97050,1,1
369450,204800,-164650,1,1
338125,409600,71475,1,0
2469050,3276800,807750,1,0
277300,409600,132300,1,0
432125,409600,-22525,1,1
1603150,870400,-732750,1,1
1485175,819200,-665975,1,1
169950,102400,-67550,1,1
161725,102400,-59325,1,1
142775,102400,-40375,1,1
129500,51200,-78300,1,1
1617875,819200,-798675,1,1
426650,204800,-221850,1,1
191200,102400,-88800,1,1
312325,204800,-107525,1,1
282825,204800,-78025,1,1
435825,204800,-231025,1,1
101550,51200,-50350,1,1
375000,204800,-170200,1,1
1381950,819200,-562750,1,1
314150,204800,-109350,1,1
1138650,819200,-319450,1,1
218800,102400,-116400,1,1
1632625,3276800,1644175,0,0
376825,204800,-172025,1,1
347350,409600,62250,1,0
2781200,3584000,802800,1,0
74150,102400,28250,1,0
1809475,1638400,-171075,1,1
204975,204800,-175,1,0
380525,409600,29075,1,0
349175,307200,-41975,1,1
86600,51200,-35400,1,1
74825,51200,-23625,1,1
1772725,819200,-953525,1,1
1647375,819200,-828175,1,1
382350,204800,-177550,1,1
175500,102400,-73100,1,1
174625,102400,-72225,1,1
378675,204800,-173875,1,1
349175,204800,-144375,1,1
1271350,819200,-452150,1,1
1153400,819200,-334200,1,1
3696925,1638400,-2058525,1,1
411850,204800,-207050,1,1
382350,204800,-177550,1,1
1404075,3276800,1872725,0,0
174625,102400,-72225,1,1
1160750,1638400,477650,1,0
1780100,1638400,-141700,1,1
413700,409600,-4100,1,0
96025,51200,-44825,1,1
176400,204800,28400,1,0
2587000,2969600,382600,1,0
76250,51200,-25050,1,1
223425,102400,-121025,1,1
103850,51200,-52650,1,1
1544150,819200,-724950,1,1
354725,204800,-149925,1,1
162575,102400,-60175,1,1
293875,204800,-89075,1,1
1794850,819200,-975650,1,1
3353775,1638400,-1715375,1,1
3394050,1792000,-1602050,1,1
1433550,3276800,1843250,0,0
327075,204800,-122275,1,1
2611650,3584000,972350,1,0
542750,204800,-337950,1,1
421075,409600,-11475,1,0
448850,409600,-39250,1,0
203650,102400,-101250,1,1
1315600,1638400,322800,1,0
316025,409600,93575,1,0
67250,102400,35150,1,0
422925,204800,-218125,1,1
113525,51200,-62325,1,1
1448300,819200,-629100,1,1
165350,102400,-62950,1,1
301250,204800,-96450,1,1
1087025,819200,-267825,1,1
1699000,819200,-879800,1,1
395275,204800,-190475,1,1
181950,102400,-79550,1,1
334450,204800,-129650,1,1
80375,51200,-29175,1,1
273600,204800,-68800,1,1
1706375,819200,-887175,1,1
198525,102400,-96125,1,1
1463050,3276800,1813750,0,0
84025,51200,-32825,1,1
76200,51200,-25000,1,1
1101775,819200,-282575,1,1
214200,102400,-111800,1,1
3191575,3276800,85225,1,0
92325,51200,-41125,1,1
338125,204800,-133325,1,1
2700550,3430400,729850,1,0
1109150,819200,-289950,1,1
432125,204800,-227325,1,1
3506950,1792000,-1714950,1,1
2970400,1638400,-1332000,1,1
84950,51200,-33750,1,1
310475,204800,-105675,1,1
279150,204800,-74350,1,1
108475,51200,-57275,1,1
1610525,819200,-791325,1,1
1536850,819200,-717650,1,1
1367200,3276800,1909600,0,0
1249225,1638400,389175,1,0
1123900,1638400,514500,1,0
3492300,3276800,-215500,1,1
476375,204800,-271575,1,1
375000,204800,-170200,1,1
385175,204800,-180375,1,1
1256600,819200,-437400,1,1
73475,51200,-22275,1,1
218800,102400,-116400,1,1
204050,102400,-101650,1,1
376825,204800,-172025,1,1
347350,204800,-142550,1,1
157975,102400,-55575,1,1
286525,204800,-81725,1,1
439500,204800,-234700,1,1
410000,204800,-205200,1,1
2474775,1792000,-682775,1,1
3501250,1638400,-1862850,1,1
406325,204800,-201525,1,1
